id,occ_date,occ_year,premises_type,bike_cost,cost_group
13854,2017-11-14,2017,Outside,800,500<1000
13855,2017-11-15,2017,Apartment,800,500<1000
13856,2017-11-14,2017,Educational,400,<500
13857,2017-11-13,2017,Other,250,<500
13859,2017-11-14,2017,Apartment,700,500<1000
13860,2017-10-29,2017,Apartment,1600,1500<2000
13861,2017-11-13,2017,Educational,500,500<1000
13862,2017-11-15,2017,Apartment,750,500<1000
13863,2017-11-14,2017,House,600,500<1000
13864,2017-11-14,2017,Apartment,2400,2000<
13865,2017-11-14,2017,Outside,550,500<1000
13866,2017-11-15,2017,House,2000,2000<
13867,2017-11-14,2017,Commercial,600,500<1000
13868,2017-11-15,2017,Outside,178,<500
13869,2017-11-16,2017,Commercial,2500,2000<
13870,2017-11-15,2017,Outside,900,500<1000
13872,2017-11-12,2017,Apartment,1000,1000<1500
13873,2017-11-13,2017,Apartment,400,<500
13874,2017-11-16,2017,Commercial,2500,2000<
13875,2017-11-16,2017,Apartment,600,500<1000
13876,2017-11-16,2017,Outside,1500,1500<2000
13877,2017-11-16,2017,Outside,600,500<1000
13878,2017-11-15,2017,Commercial,800,500<1000
13879,2017-11-15,2017,Outside,2500,2000<
13880,2017-11-15,2017,Outside,2500,2000<
13882,2017-11-16,2017,Outside,800,500<1000
13883,2017-11-16,2017,Outside,250,<500
13884,2017-11-15,2017,Apartment,1600,1500<2000
13885,2017-11-12,2017,Apartment,500,500<1000
13886,2017-11-17,2017,Outside,750,500<1000
13888,2017-11-17,2017,Outside,600,500<1000
13889,2017-11-15,2017,Commercial,2500,2000<
13890,2017-11-05,2017,Outside,750,500<1000
13891,2017-06-16,2017,Outside,2000,2000<
13893,2017-11-19,2017,Outside,300,<500
13894,2017-11-16,2017,Educational,160,<500
13895,2017-11-19,2017,House,800,500<1000
13896,2017-11-16,2017,Apartment,250,<500
13897,2017-11-17,2017,Outside,1075.75,1000<1500
13898,2017-11-20,2017,Other,500,500<1000
13899,2017-11-15,2017,Apartment,1700,1500<2000
13900,2017-11-12,2017,House,1000,1000<1500
13901,2017-11-16,2017,Commercial,225,<500
13902,2017-11-11,2017,House,1003,1000<1500
13903,2017-11-19,2017,Other,450,<500
13904,2017-11-19,2017,House,745,500<1000
